Villa_id,Villa_Name,Region
146,ALEKTO,Amorgos
103,ARACHNE,Amorgos
352,ASPASIA,Amorgos
125,EUDOKIA,Amorgos
68,EUMELIA,Amorgos
364,EUPHROSYNE,Amorgos
57,AIKATERINA,Anafi
88,DAMALIS,Anafi
346,DARIEA,Anafi
252,EUDORA,Anafi
91,AIKATERINE,Andros (town)
249,ALKYONE,Ano Syros
375,ELENE,Ano Syros
230,ENYO,Ano Syros
99,EUNIKE,Ano Syros
144,FOTEINI,Ano Syros
349,APPHIA,Antiparos
94,BERENIKE,Antiparos
283,CALLIDORA,Antiparos
62,DISDEMONA,Antiparos
202,EFTHALIA,Antiparos
245,FOTINI,Antiparos
257,ANAITIS,Donousa
272,ANASTASIA,Donousa
246,AOIDE,Donousa
339,DESDEMONA,Donousa
269,ELYSIA,Donousa
34,ERIKA,Donousa
38,ADRASTEIA,Drymalia
366,ANTIOPE,Drymalia
130,DELPHINIA,Drymalia
46,DESPOINE,Drymalia
358,EFROSYNI,Drymalia
382,AMPHITRITE,Ermoupoli
348,ATHENE,Ermoupoli
179,EKHO,Ermoupoli
253,EUPHEMIA,Ermoupoli
75,ALALA,Exomvourgo
385,ARETHOUSA,Exomvourgo
322,DIONYSIA,Exomvourgo
319,FRONA,Exomvourgo
26,ADONIA,Folegandros
281,ATROPOS,Folegandros
305,CHLOE,Folegandros
205,DIANTHE,Folegandros
54,EUPHEME,Folegandros
44,EVA,Folegandros
341,EVGENIA,Folegandros
270,ALKIPPE,Ios
248,AMINTA,Ios
149,ATHANASIA,Ios
161,CHARA,Ios
203,DOROTHEA,Ios
69,ELEKTRA,Ios
315,EUADNE,Ios
311,ALKMENE,Irakleia
261,ARTEMIS,Irakleia
87,CHRYSANTHE,Irakleia
290,GAIA,Irakleia
108,BETHESDA,Kea
291,AGLAIA,Kimolos
3,ANDRONIKA,Kimolos
159,APHRODITE,Kimolos
377,DIONE,Kimolos
212,EILEITHYIA,Kimolos
187,EUTROPIA,Kimolos
267,EUDOXIA,Korthio
279,GE,Korthio
373,GLYKERIA,Korthio
240,AMBROSIA,Koufonisia
244,BAUKIS,Koufonisia
351,EUROPE,Koufonisia
350,AELLA,Kythnos
359,ANTHEIA,Kythnos
189,ARISTOMACHE,Kythnos
247,ASTARTE,Kythnos
50,DAMARIS,Kythnos
210,DAPHNE,Kythnos
84,DORRIS,Kythnos
128,AELLAI,Milos
384,AGATHE,Milos
262,AGAVE,Milos
70,AIGLE,Milos
2,ALEXANDRA,Milos
282,BARBARA,Milos
31,GOLGOTHA,Milos
224,ELEFTHERIA,Mykonos
24,ELENI,Mykonos
363,ERATO,Mykonos
113,AKELDAMA,Naxos
89,AMALTHEIA,Naxos
372,EIONE,Naxos
369,ACHIMA,Oia
239,ALKESTIS,Oia
